latent=630 center_x=1.1497 width=0.9916 variance=1.199635
latent=723 center_x=1.2819 width=1.0712 variance=1.062471
latent=904 center_x=1.1899 width=0.9328 variance=0.963696
latent=529 center_x=1.1890 width=1.0895 variance=0.932757
latent=6 center_x=-1.3195 width=0.9879 variance=0.901400
latent=883 center_x=1.1492 width=1.2249 variance=0.881851
latent=973 center_x=-1.3939 width=0.9126 variance=0.850817
latent=404 center_x=-1.6217 width=0.9284 variance=0.842792
latent=249 center_x=-1.1196 width=0.9226 variance=0.828411
latent=1001 center_x=-1.5452 width=0.9651 variance=0.784291
latent=433 center_x=-1.3746 width=0.9970 variance=0.782838
latent=345 center_x=1.2398 width=0.9413 variance=0.780105
