latent=712 center_x=2.4159 width=0.5045 variance=1.453436
latent=933 center_x=2.5001 width=0.2879 variance=1.233414
latent=907 center_x=1.2267 width=1.0053 variance=1.182805
latent=457 center_x=1.1032 width=0.7645 variance=1.088508
latent=568 center_x=1.1989 width=0.9913 variance=0.992607
latent=99 center_x=0.7639 width=0.7785 variance=0.923752
latent=51 center_x=1.1822 width=1.0073 variance=0.888156
latent=317 center_x=2.2986 width=0.6454 variance=0.829013
latent=182 center_x=0.7143 width=0.7387 variance=0.817774
latent=193 center_x=2.4430 width=0.4149 variance=0.799804
latent=283 center_x=1.2698 width=1.0749 variance=0.729900
latent=337 center_x=0.7621 width=0.5267 variance=0.646247
