latent=280 center_x=-1.5891 width=0.9563 variance=1.788545
latent=591 center_x=-1.5555 width=0.8918 variance=1.376907
latent=526 center_x=-1.5345 width=0.9394 variance=1.190735
latent=818 center_x=-1.5620 width=0.9241 variance=1.170938
latent=120 center_x=-1.6353 width=0.9136 variance=1.080186
latent=782 center_x=-1.5272 width=0.9939 variance=1.076565
latent=491 center_x=-1.5570 width=0.8710 variance=1.068889
latent=989 center_x=-1.5966 width=0.8586 variance=1.043331
latent=371 center_x=-1.6189 width=0.9414 variance=1.017766
latent=200 center_x=-1.6523 width=0.9707 variance=1.016253
latent=383 center_x=-1.5577 width=0.9270 variance=1.012157
latent=347 center_x=-1.6572 width=0.9144 variance=1.008289
