latent=730 center_x=-0.1733 width=2.2627 variance=0.449909
latent=940 center_x=0.2811 width=2.1524 variance=0.448450
latent=20 center_x=-0.0114 width=0.6979 variance=0.445021
latent=859 center_x=-0.1992 width=2.2280 variance=0.432782
latent=461 center_x=-0.0321 width=2.2924 variance=0.419476
latent=414 center_x=-0.0196 width=2.5367 variance=0.413261
latent=111 center_x=-0.0241 width=0.8236 variance=0.406875
latent=254 center_x=0.0131 width=2.0289 variance=0.396392
latent=392 center_x=-0.0289 width=2.5810 variance=0.391370
latent=832 center_x=0.0502 width=2.4525 variance=0.387736
latent=565 center_x=-0.2696 width=2.1335 variance=0.365597
latent=1007 center_x=0.1497 width=2.5211 variance=0.360933
